ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:	modulus			
135	00:00:02:000	13	2	250				0,051708461	0,007955148	0,994393476	0,995768766			
136	00:00:02:000	11	2	251				0,043753313	0,007955148	0,99837105	0,999360991			
137	00:00:02:000	9	2	250				0,035798165	0,007955148	0,994393476	0,995069434			
138	00:00:02:000	12	4	249				0,047730887	0,015910296	0,990415902	0,991693014			
139	00:00:02:000	10	2	252				0,039775739	0,007955148	1,002348624	1,003169057			
140	00:00:02:003	11	0	250				0,043753313	0	0,994393476	0,995355583			
141	00:00:02:003	9	3	250				0,035798165	0,011932722	0,994393476	0,995109182			
142	00:00:02:003	11	3	250				0,043753313	0,011932722	0,994393476	0,995427108			
143	00:00:02:003	10	4	251				0,039775739	0,015910296	0,99837105	0,999289748			
144	00:00:02:003	13	2	252				0,051708461	0,007955148	1,002348624	1,003713013			
145	00:00:02:003	12	2	253				0,047730887	0,007955148	1,006326198	1,007488927			
146	00:00:02:003	13	2	250				0,051708461	0,007955148	0,994393476	0,995768766			
147	00:00:02:003	8	5	252				0,031820591	0,01988787	1,002348624	1,003050767			
148	00:00:02:004	11	3	250				0,043753313	0,011932722	0,994393476	0,995427108			
149	00:00:02:004	5	3	249				0,01988787	0,011932722	0,990415902	0,990687426			
150	00:00:02:004	9	3	254				0,035798165	0,011932722	1,010303772	1,011008214			
151	00:00:02:004	10	2	253				0,039775739	0,007955148	1,006326198	1,007143391			
152	00:00:02:004	13	3	247				0,051708461	0,011932722	0,982460754	0,983892925			
153	00:00:02:004	10	4	251				0,039775739	0,015910296	0,99837105	0,999289748			
154	00:00:02:004	12	5	253				0,047730887	0,01988787	1,006326198	1,0076538			
155	00:00:02:004	10	1	256				0,039775739	0,003977574	1,018258919	1,019043256			
156	00:00:02:004	15	3	255				0,059663609	0,011932722	1,014281346	1,016104711			
157	00:00:02:005	10	5	251				0,039775739	0,01988787	0,99837105	0,999360991			
158	00:00:02:005	11	2	251				0,043753313	0,007955148	0,99837105	0,999360991			
159	00:00:02:005	9	3	252				0,035798165	0,011932722	1,002348624	1,003058653			
160	00:00:02:005	10	1	252				0,039775739	0,003977574	1,002348624	1,0031454			
161	00:00:02:005	10	2	251				0,039775739	0,007955148	0,99837105	0,999194749			
162	00:00:02:005	10	5	254				0,039775739	0,01988787	1,010303772	1,011282032			
163	00:00:02:005	9	6	252				0,035798165	0,023865443	1,002348624	1,003271564			
164	00:00:02:005	9	5	253				0,035798165	0,01988787	1,006326198	1,0071591			
165	00:00:02:005	9	5	251				0,035798165	0,01988787	0,99837105	0,999210583			
166	00:00:02:005	9	4	253				0,035798165	0,015910296	1,006326198	1,007088408			
167	00:00:02:005	7	3	252				0,027843017	0,011932722	1,002348624	1,002806256			
168	00:00:02:005	5	3	250				0,01988787	0,011932722	0,994393476	0,994663914			
169	00:00:02:005	6	3	250				0,023865443	0,011932722	0,994393476	0,994751393			
170	00:00:02:005	13	4	253				0,051708461	0,015910296	1,006326198	1,0077794			
171	00:00:02:005	11	5	252				0,043753313	0,01988787	1,002348624	1,003500196			
172	00:00:02:005	13	4	251				0,051708461	0,015910296	0,99837105	0,999835814			
173	00:00:02:005	14	5	253				0,055686035	0,01988787	1,006326198	1,008061942			
174	00:00:02:005	14	2	247				0,055686035	0,007955148	0,982460754	0,984069791			
175	00:00:02:006	9	3	259				0,035798165	0,011932722	1,030191641	1,030882494			
176	00:00:02:006	14	2	251				0,055686035	0,007955148	0,99837105	0,999954485			
177	00:00:02:006	11	2	255				0,043753313	0,007955148	1,014281346	1,015255773			
178	00:00:02:006	11	2	254				0,043753313	0,007955148	1,010303772	1,011282032			
179	00:00:02:006	7	4	254				0,027843017	0,015910296	1,010303772	1,010812585			
180	00:00:02:006	7	1	254				0,027843017	0,003977574	1,010303772	1,010695189			
181	00:00:02:006	8	3	252				0,031820591	0,011932722	1,002348624	1,002924575			
182	00:00:02:006	8	4	249				0,031820591	0,015910296	0,990415902	0,991054664			
183	00:00:02:006	8	2	253				0,031820591	0,007955148	1,006326198	1,006860591			
184	00:00:02:006	9	-6	248				0,035798165	-0,023865443	0,986438328	0,987376141			
185	00:00:02:006	4	4	251				0,015910296	0,015910296	0,99837105	0,998624568			
186	00:00:02:006	8	3	251				0,031820591	0,011932722	0,99837105	0,998949295			
187	00:00:02:006	2	4	248				0,007955148	0,015910296	0,986438328	0,986598701			
188	00:00:02:006	8	9	252				0,031820591	0,035798165	1,002348624	1,003492313			
189	00:00:02:007	12	16	272				0,047730887	0,063641182	1,081900102	1,084820846			
190	00:00:02:007	6	3	264				0,023865443	0,011932722	1,050079511	1,050418454			
191	00:00:02:007	8	7	264				0,031820591	0,027843017	1,050079511	1,050930427			
192	00:00:02:007	4	5	263				0,015910296	0,01988787	1,046101937	1,04641193			
193	00:00:02:008	11	4	251				0,043753313	0,015910296	0,99837105	0,999455974			
194	00:00:02:008	9	7	254				0,035798165	0,027843017	1,010303772	1,011321143			
195	00:00:02:008	10	7	248				0,039775739	0,027843017	0,986438328	0,987632481			
196	00:00:02:008	6	8	253				0,023865443	0,031820591	1,006326198	1,007111973			
197	00:00:02:008	11	10	256				0,043753313	0,039775739	1,018258919	1,019974357			
198	00:00:02:008	11	16	264				0,043753313	0,063641182	1,050079511	1,052915728			
199	00:00:02:008	5	15	258				0,01988787	0,059663609	1,026214067	1,02813938			
0	00:00:02:121	-7	11	248				-0,027843017	0,043753313	0,986438328	0,987800669			
1	00:00:02:122	-12	15	241				-0,047730887	0,059663609	0,958595311	0,961635562			
2	00:00:02:122	-16	17	232				-0,063641182	0,067618756	0,922797146	0,927457314			
3	00:00:02:122	-17	16	231				-0,067618756	0,063641182	0,918819572	0,923499812			
4	00:00:02:122	-13	11	239				-0,051708461	0,043753313	0,950640163	0,95305028			
5	00:00:02:122	-4	16	243				-0,015910296	0,063641182	0,966550459	0,968774033			
6	00:00:02:122	8	13	244				0,031820591	0,051708461	0,970528033	0,972425307			
7	00:00:02:122	16	6	236				0,063641182	0,023865443	0,938707441	0,941164927			
8	00:00:02:122	15	9	240				0,059663609	0,035798165	0,954617737	0,957150082			
