ndx:	HR:MN:SC:1/128s:	x:	y:	z:	unit factor			x:	y:	z:
187	00:00:02:016	-1	1	256				-0,003977574	0,003977574	1,018258919
188	00:00:02:016	-2	5	256				-0,007955148	0,01988787	1,018258919
189	00:00:02:016	-1	4	256				-0,003977574	0,015910296	1,018258919
190	00:00:02:016	-2	2	254				-0,007955148	0,007955148	1,010303772
191	00:00:02:016	0	2	248				0	0,007955148	0,986438328
192	00:00:02:016	1	3	254				0,003977574	0,011932722	1,010303772
193	00:00:02:016	-2	3	253				-0,007955148	0,011932722	1,006326198
194	00:00:02:017	0	5	251				0	0,01988787	0,99837105
195	00:00:02:017	-1	2	248				-0,003977574	0,007955148	0,986438328
196	00:00:02:017	0	2	247				0	0,007955148	0,982460754
197	00:00:02:017	0	3	244				0	0,011932722	0,970528033
198	00:00:02:018	1	2	245				0,003977574	0,007955148	0,974505607
199	00:00:02:018	0	4	250				0	0,015910296	0,994393476
0	00:00:02:116	0	4	254				0	0,015910296	1,010303772
1	00:00:02:117	-1	5	252				-0,003977574	0,01988787	1,002348624
2	00:00:02:117	0	2	253				0	0,007955148	1,006326198
3	00:00:02:117	1	2	254				0,003977574	0,007955148	1,010303772
4	00:00:02:117	1	1	254				0,003977574	0,003977574	1,010303772
5	00:00:02:117	-1	4	248				-0,003977574	0,015910296	0,986438328
6	00:00:02:117	0	2	251				0	0,007955148	0,99837105
7	00:00:02:117	-2	3	255				-0,007955148	0,011932722	1,014281346
8	00:00:02:117	-2	3	255				-0,007955148	0,011932722	1,014281346
9	00:00:02:117	0	2	249				0	0,007955148	0,990415902
10	00:00:02:117	0	3	248				0	0,011932722	0,986438328
11	00:00:02:117	0	4	250				0	0,015910296	0,994393476
12	00:00:02:118	1	3	253				0,003977574	0,011932722	1,006326198
13	00:00:02:118	0	-1	246				0	-0,003977574	0,97848318
14	00:00:02:118	-2	2	250				-0,007955148	0,007955148	0,994393476
15	00:00:02:118	-1	3	252				-0,003977574	0,011932722	1,002348624
16	00:00:02:118	-2	4	256				-0,007955148	0,015910296	1,018258919
17	00:00:02:118	-5	2	251				-0,01988787	0,007955148	0,99837105
18	00:00:02:118	0	2	250				0	0,007955148	0,994393476
19	00:00:02:118	-3	2	252				-0,011932722	0,007955148	1,002348624
20	00:00:02:118	-1	2	246				-0,003977574	0,007955148	0,97848318
21	00:00:02:118	-3	4	254				-0,011932722	0,015910296	1,010303772
